,TeamId,TeamNumber,Max_Driver_Skill,Max_Programming_Skill,Total_Awards,count_champion,count_finalists,count_excellence,count_skillChampion
0,140222,19085B,92,73,0.0,0.0,0.0,0.0,0.0
1,114946,19991A,65,87,2.0,1.0,0.0,0.0,0.0
2,163595,23599S,106,74,2.0,0.0,1.0,0.0,0.0
3,151909,24658J,184,151,9.0,2.0,1.0,0.0,3.0
4,135199,26003A,138,99,8.0,1.0,2.0,1.0,0.0
5,148574,28006B,163,149,5.0,2.0,0.0,0.0,2.0
6,165864,31392B,125,102,5.0,2.0,1.0,0.0,0.0
7,111440,33249C,108,85,2.0,1.0,0.0,1.0,0.0
8,155538,35931S,148,102,0.0,0.0,0.0,0.0,0.0
9,118728,37816D,136,130,2.0,0.0,1.0,0.0,0.0
10,154284,39792E,116,118,3.0,1.0,0.0,0.0,1.0
11,139121,45133K,160,108,0.0,0.0,0.0,0.0,0.0
12,138841,50878X,140,133,3.0,0.0,1.0,1.0,0.0
13,102422,54001B,199,183,4.0,1.0,0.0,0.0,0.0
14,72046,56772A,140,128,4.0,1.0,0.0,3.0,0.0
15,155529,57783A,90,91,1.0,0.0,0.0,0.0,0.0
16,122766,62880B,122,131,5.0,2.0,2.0,1.0,0.0
17,143905,66465F,157,132,13.0,2.0,1.0,3.0,3.0
18,114710,69414Z,164,132,11.0,5.0,0.0,2.0,4.0
19,143864,70699B,82,66,0.0,0.0,0.0,0.0,0.0
20,158825,72801P,114,94,3.0,1.0,0.0,1.0,1.0
21,150380,74074C,155,122,6.0,0.0,0.0,0.0,1.0
22,156380,75013C,62,0,0.0,0.0,0.0,0.0,0.0
23,126262,76151M,38,5,0.0,0.0,0.0,0.0,0.0
24,139812,77701A,149,136,7.0,3.0,0.0,0.0,0.0
25,130100,78759D,143,113,7.0,3.0,1.0,1.0,0.0
26,135518,79298C,189,146,5.0,1.0,0.0,2.0,1.0
27,160880,80550M,152,97,0.0,0.0,0.0,0.0,0.0
28,88984,82391A,136,109,5.0,0.0,0.0,0.0,1.0
29,130955,87867E,180,131,8.0,3.0,2.0,2.0,1.0
30,165749,89676P,131,87,1.0,0.0,0.0,0.0,1.0
31,96551,95070A,151,150,2.0,0.0,0.0,2.0,0.0
32,73990,97311F,146,99,2.0,0.0,0.0,0.0,0.0
33,163968,98548N,136,78,0.0,0.0,0.0,0.0,0.0
34,102975,99157B,132,116,6.0,1.0,0.0,0.0,1.0
35,143660,99750Z,122,111,6.0,2.0,0.0,2.0,0.0
