,TeamId,TeamNumber,Max_Driver_Skill,Max_Programming_Skill,Total_Awards,count_champion,count_finalists,count_excellence,count_skillChampion,count_design,count_judge
0,155679,38T,131,107,4.0,2.0,0.0,1.0,0.0,0.0,0.0
1,51094,80Y,219,170,7.0,2.0,1.0,1.0,2.0,0.0,0.0
2,133057,293T,143,143,4.0,0.0,0.0,1.0,1.0,0.0,0.0
3,111779,355T,100,85,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,114797,462Z,148,139,12.0,2.0,2.0,2.0,1.0,1.0,0.0
5,130546,663S,160,129,13.0,5.0,0.0,1.0,2.0,0.0,0.0
6,148436,936D,N/A,N/A,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7,40102,1028J,147,110,5.0,1.0,2.0,0.0,1.0,0.0,0.0
8,77488,1100A,142,152,3.0,0.0,0.0,1.0,1.0,0.0,0.0
9,161210,1247D,100,87,2.0,0.0,1.0,0.0,0.0,0.0,0.0
10,52930,1338B,117,100,6.0,2.0,1.0,1.0,0.0,2.0,0.0
11,19591,1481H,164,124,2.0,0.0,0.0,1.0,1.0,0.0,0.0
12,153484,1806A,124,101,3.0,0.0,1.0,0.0,0.0,0.0,0.0
13,143736,1920D,84,83,2.0,1.0,0.0,0.0,0.0,0.0,0.0
14,81062,2036A,70,29,3.0,3.0,0.0,0.0,0.0,0.0,0.0
15,164125,2252V,148,97,3.0,0.0,2.0,1.0,0.0,0.0,0.0
16,148531,2668A,142,107,6.0,0.0,2.0,1.0,2.0,1.0,0.0
17,72761,2915E,155,138,3.0,1.0,0.0,1.0,1.0,0.0,0.0
18,156356,3221K,198,129,2.0,0.0,0.0,1.0,0.0,0.0,0.0
19,154660,3333T,114,87,2.0,0.0,0.0,2.0,0.0,0.0,0.0
20,23632,3590A,149,76,3.0,1.0,0.0,0.0,0.0,0.0,0.0
21,164043,4205J,104,65,1.0,0.0,0.0,1.0,0.0,0.0,0.0
22,73163,4610K,140,113,2.0,0.0,0.0,1.0,1.0,0.0,0.0
23,110193,4613S,71,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
